;id;full_name;first_name;last_name;is_active
678;156;Antoine Carr;Antoine;Carr;False
679;76348;Austin Carr;Austin;Carr;False
680;713;Chris Carr;Chris;Carr;False
681;1757;Cory Carr;Cory;Carr;False
682;76350;Kenny Carr;Kenny;Carr;False
683;76351;M.L. Carr;M.L.;Carr;False
684;76352;Bob Carrington;Bob;Carrington;False
685;201960;DeMarre Carroll;DeMarre;Carroll;False
686;76353;Joe Barry Carroll;Joe Barry;Carroll;False
687;2679;Matt Carroll;Matt;Carroll;False
688;1131;Jimmy Carruth;Jimmy;Carruth;False
689;1853;Anthony Carter;Anthony;Carter;False
690;76355;Butch Carter;Butch;Carter;False
691;76356;Fred Carter;Fred;Carter;False
692;76357;George Carter;George;Carter;False
693;76358;Howard Carter;Howard;Carter;False
694;76359;Jake Carter;Jake;Carter;False
695;1628975;Jevon Carter;Jevon;Carter;True
696;2466;Maurice Carter;Maurice;Carter;False
697;76360;Reggie Carter;Reggie;Carter;False
698;76361;Ron Carter;Ron;Carter;False
699;1713;Vince Carter;Vince;Carter;False
700;1628976;Wendell Carter Jr.;Wendell;Carter Jr.;True
701;203487;Michael Carter-Williams;Michael;Carter-Williams;False
702;76362;Bill Cartwright;Bill;Cartwright;False
703;76363;Jay Carty;Jay;Carty;False
704;1627936;Alex Caruso;Alex;Caruso;True
705;76364;Cornelius Cash;Cornelius;Cash;False
706;208;Sam Cassell;Sam;Cassell;False
707;201956;Omri Casspi;Omri;Casspi;False
708;76365;Harvey Catchings;Harvey;Catchings;False
709;767;Terry Catledge;Terry;Catledge;False
710;76367;Sid Catlett;Sid;Catlett;False
711;1509;Kelvin Cato;Kelvin;Cato;False
712;76368;Bobby Cattage;Bobby;Cattage;False
713;1626161;Willie Cauley-Stein;Willie;Cauley-Stein;True
714;1628505;Troy Caupain;Troy;Caupain;False
715;190;Duane Causwell;Duane;Causwell;False
716;1628463;Tyler Cavanaugh;Tyler;Cavanaugh;False
717;76370;Ron Cavenall;Ron;Cavenall;False
718;1629958;Ahmad Caver;Ahmad;Caver;False
719;76;Cedric Ceballos;Cedric;Ceballos;False
720;1911;John Celestand;John;Celestand;False
721;76373;Al Cervi;Al;Cervi;False
722;2763;Lionel Chalmers;Lionel;Chalmers;False
723;201596;Mario Chalmers;Mario;Chalmers;False
724;76374;Bill Chamberlain;Bill;Chamberlain;False
725;76375;Wilt Chamberlain;Wilt;Chamberlain;False
726;76376;Jerry Chambers;Jerry;Chambers;False
727;1472;Tom Chambers;Tom;Chambers;False
728;1630577;Julian Champagnie;Julian;Champagnie;True
729;1630551;Justin Champagnie;Justin;Champagnie;True
730;76378;Mike Champion;Mike;Champion;False
731;1631113;Kennedy Chandler;Kennedy;Chandler;True
732;2199;Tyson Chandler;Tyson;Chandler;False
733;201163;Wilson Chandler;Wilson;Chandler;False
734;76379;Don Chaney;Don;Chaney;False
735;76380;John Chaney;John;Chaney;False
736;364;Rex Chapman;Rex;Chapman;False
737;76382;Len Chappell;Len;Chappell;False
738;76383;Ken Charles;Ken;Charles;False
739;76384;Lorenzo Charles;Lorenzo;Charles;False
740;1629147;Joe Chealey;Joe;Chealey;False
741;384;Calbert Cheaney;Calbert;Cheaney;False
742;1629597;Zylan Cheatham;Zylan;Cheatham;True
743;76385;Maurice Cheeks;Maurice;Cheeks;False
744;76386;Phil Chenier;Phil;Chenier;False
745;203805;Will Cherry;Will;Cherry;False
746;76387;Derrick Chievous;Derrick;Chievous;False
747;432;Pete Chilcutt;Pete;Chilcutt;False
748;2735;Josh Childress;Josh;Childress;False
749;719;Randolph Childress;Randolph;Childress;False
750;164;Chris Childs;Chris;Childs;False
751;1629185;Chris Chiozza;Chris;Chiozza;True
752;76391;Leroy Chollet;Leroy;Chollet;False
753;76392;Jim Chones;Jim;Chones;False
754;1627737;Marquese Chriss;Marquese;Chriss;True
755;76393;Fred Christ;Fred;Christ;False
756;76394;Cal Christensen;Cal;Christensen;False
757;76395;Bob Christian;Bob;Christian;False
758;57;Doug Christie;Doug;Christie;False
759;1631108;Max Christie;Max;Christie;True
760;202091;Dionte Christmas;Dionte;Christmas;False
761;1626176;Rakeem Christmas;Rakeem;Christmas;False
762;203902;Semaj Christon;Semaj;Christon;False
763;1630528;Josh Christopher;Josh;Christopher;True
764;203565;Patrick Christopher;Patrick;Christopher;False
765;928;Robert Churchwell;Robert;Churchwell;False
766;76397;Archie Clark;Archie;Clark;False
767;76398;Carlos Clark;Carlos;Clark;False
768;201947;Earl Clark;Earl;Clark;False
769;1629109;Gary Clark;Gary;Clark;False
770;203546;Ian Clark;Ian;Clark;False
771;1721;Keon Clark;Keon;Clark;False
772;1629634;Brandon Clarke;Brandon;Clarke;True
773;1626262;Coty Clarke;Coty;Clarke;False
774;203903;Jordan Clarkson;Jordan;Clarkson;True
775;1628492;Gian Clavell;Gian;Clavell;False
776;201964;Victor Claver;Victor;Claver;False
777;1127;Charles Claxton;Charles;Claxton;False
778;1629651;Nic Claxton;Nic;Claxton;True
779;2049;Speedy Claxton;Speedy;Claxton;False
780;76402;Jim Cleamons;Jim;Cleamons;False
781;2043;Mateen Cleaves;Mateen;Cleaves;False
782;76403;John Clemens;John;Clemens;False
783;1629598;Chris Clemons;Chris;Clemons;False
784;1628499;Antonius Cleveland;Antonius;Cleveland;False
785;76404;Nat Clifton;Nat;Clifton;False
786;76406;Bill Closs;Bill;Closs;False
787;1569;Keith Closs;Keith;Closs;False
788;76407;Paul Cloyd;Paul;Cloyd;False
789;76408;Marion Cluggish;Marion;Cluggish;False
790;76409;Ben Clyde;Ben;Clyde;False
791;1629599;Amir Coffey;Amir;Coffey;True
792;76410;Richard Coffey;Richard;Coffey;False
793;76411;Fred Cofield;Fred;Cofield;False
794;715;John Coker;John;Coker;False
795;202708;Norris Cole;Norris;Cole;False
796;76412;Ben Coleman;Ben;Coleman;False
797;934;Derrick Coleman;Derrick;Coleman;False
798;76413;E.C. Coleman;E.C.;Coleman;False
799;76414;Jack Coleman;Jack;Coleman;False
800;76415;Norris Coleman;Norris;Coleman;False
801;902;Bimbo Coles;Bimbo;Coles;False
802;2044;Jason Collier;Jason;Collier;False
803;76416;Art Collins;Art;Collins;False
804;76418;Don Collins;Don;Collins;False
805;76421;Doug Collins;Doug;Collins;False
806;1530;James Collins;James;Collins;False
807;2260;Jarron Collins;Jarron;Collins;False
808;2215;Jason Collins;Jason;Collins;False
809;76419;Jimmy Collins;Jimmy;Collins;False
810;1628381;John Collins;John;Collins;True
811;200776;Mardy Collins;Mardy;Collins;False
812;202395;Sherron Collins;Sherron;Collins;False
813;1628380;Zach Collins;Zach;Collins;True
814;1627858;Kyle Collinsworth;Kyle;Collinsworth;False
815;201954;Darren Collison;Darren;Collison;False
816;2555;Nick Collison;Nick;Collison;False
817;76422;Joe Colone;Joe;Colone;False
818;1629045;Bonzie Colson;Bonzie;Colson;False
819;2173;Sean Colson;Sean;Colson;False
820;306;Steve Colter;Steve;Colter;False
821;76425;Leroy Combs;Leroy;Combs;False
822;76426;Dallas Comegys;Dallas;Comegys;False
823;76427;Larry Comley;Larry;Comley;False
824;76428;Gene Conley;Gene;Conley;False
825;201144;Mike Conley;Mike;Conley;True
826;76429;Ed Conlin;Ed;Conlin;False
827;55;Marty Conlon;Marty;Conlon;False
828;1626192;Pat Connaughton;Pat;Connaughton;True
829;76431;Lester Conner;Lester;Conner;False
830;76432;Chuck Connors;Chuck;Connors;False
831;101215;Will Conroy;Will;Conroy;False
832;76433;Anthony Cook;Anthony;Cook;False
833;76434;Bert Cook;Bert;Cook;False
834;76438;Bobby Cook;Bobby;Cook;False
835;2567;Brian Cook;Brian;Cook;False
836;201161;Daequan Cook;Daequan;Cook;False
837;76435;Darwin Cook;Darwin;Cook;False
838;76436;Jeff Cook;Jeff;Cook;False
839;76437;Norm Cook;Norm;Cook;False
840;2241;Omar Cook;Omar;Cook;False
841;1626188;Quinn Cook;Quinn;Cook;True
842;1629076;Tyler Cook;Tyler;Cook;False
843;1628429;Charles Cooke;Charles;Cooke;False
844;76439;David Cooke;David;Cooke;False
845;76440;Joe Cooke;Joe;Cooke;False
846;204022;Jack Cooley;Jack;Cooley;False
847;76442;Chuck Cooper;Chuck;Cooper;False
848;1030;Duane Cooper;Duane;Cooper;False
849;76443;Joe Cooper;Joe;Cooper;False
850;76444;Michael Cooper;Michael;Cooper;False
851;1630536;Sharife Cooper;Sharife;Cooper;True
852;76441;Wayne Cooper;Wayne;Cooper;False
853;76446;Tom Copa;Tom;Copa;False
854;203142;Chris Copeland;Chris;Copeland;False
855;76447;Hollis Copeland;Hollis;Copeland;False
856;76448;Lanard Copeland;Lanard;Copeland;False
857;895;Tyrone Corbin;Tyrone;Corbin;False
858;76450;Chris Corchiani;Chris;Corchiani;False
859;76451;Ken Corley;Ken;Corley;False
860;76452;Ray Corley;Ray;Corley;False
861;1627822;Petr Cornelie;Petr;Cornelie;False
862;76453;Dave Corzine;Dave;Corzine;False
863;76454;Larry Costello;Larry;Costello;False
864;1627856;Matt Costello;Matt;Costello;False
865;203955;Bryce Cotton;Bryce;Cotton;False
866;76456;Jack Cotton;Jack;Cotton;False
