;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
20;21;Mike Conley;25;MEM;0.0;1.0;605;0.002;80;34.5;14.6;2.8;6.1;2.2;0.3;0.44;0.362;0.83;9.9;0.172;4.7;2.3;100;2013
0;1;Joakim Noah;28;CHI;100.0;555.0;625;0.888;80;35.3;12.6;11.3;5.4;1.2;1.5;0.475;0.0;0.737;11.2;0.19;6.6;3.6;96;2014
1;2;Roy Hibbert;27;IND;8.0;166.0;625;0.266;81;29.7;10.8;6.6;1.1;0.4;2.2;0.439;0.4;0.77;5.4;0.108;5.0;1.5;98;2014
2;3;DeAndre Jordan;25;LAC;8.0;121.0;625;0.194;82;35.0;10.4;13.6;0.9;1.0;2.5;0.676;;0.428;11.1;0.186;5.8;1.6;98;2014
3;4;Serge Ibaka;24;OKC;2.0;79.0;625;0.126;81;32.9;15.1;8.8;1.0;0.5;2.7;0.536;0.383;0.784;9.6;0.173;4.4;0.6;102;2014
4;5;Andre Iguodala;30;GSW;1.0;47.0;625;0.075;63;32.4;9.3;4.7;4.2;1.5;0.3;0.48;0.354;0.652;5.8;0.135;3.1;2.4;103;2014
5;6;LeBron James;29;MIA;2.0;31.0;625;0.05;77;37.7;27.1;6.9;6.3;1.6;0.3;0.567;0.379;0.75;15.9;0.264;3.7;1.1;105;2014
6;7;Paul George;23;IND;0.0;30.0;625;0.048;80;36.2;21.7;6.8;3.5;1.9;0.3;0.424;0.364;0.864;10.8;0.178;6.4;2.1;97;2014
7;8T;Anthony Davis;20;NOP;1.0;25.0;625;0.04;67;35.2;20.8;10.0;1.6;1.3;2.8;0.519;0.222;0.791;10.4;0.212;3.2;0.8;104;2014
8;8T;Dwight Howard;28;HOU;1.0;25.0;625;0.04;71;33.7;18.3;12.2;1.8;0.8;1.8;0.591;0.286;0.547;8.0;0.161;4.1;0.8;101;2014
9;10;Andrew Bogut;29;GSW;1.0;11.0;625;0.018;67;26.4;7.3;10.0;1.7;0.7;1.8;0.627;;0.344;6.5;0.176;4.0;3.2;96;2014
10;11;Kawhi Leonard;22;SAS;0.0;9.0;625;0.014;66;29.1;12.8;6.2;2.0;1.7;0.8;0.522;0.379;0.802;7.7;0.193;3.9;3.0;98;2014
11;12;P.J. Tucker;28;PHO;1.0;6.0;625;0.01;81;30.7;9.4;6.5;1.7;1.4;0.3;0.431;0.387;0.776;6.1;0.117;2.8;0.9;106;2014
12;13T;Tim Duncan;37;SAS;0.0;5.0;625;0.008;74;29.2;15.1;9.7;3.0;0.6;1.9;0.49;0.0;0.731;7.4;0.164;4.6;2.1;98;2014
13;13T;Chris Paul;28;LAC;0.0;5.0;625;0.008;62;35.0;19.1;4.3;10.7;2.5;0.1;0.467;0.368;0.855;12.2;0.27;3.2;2.6;103;2014
