;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;DWS;DBPM;DRtg;
12;13;Shawn Marion;31;DAL;0.0;8.0;610;0.013;75;31.8;12.0;6.4;1.4;0.9;0.8;0.508;0.158;0.755;5.0;0.1;2.8;0.1;106;2010
13;14;Tim Duncan;33;SAS;0.0;7.0;610;0.011;78;31.3;17.9;10.1;3.2;0.6;1.5;0.518;0.182;0.725;10.9;0.215;4.5;1.8;101;2010
14;15;Shane Battier;31;HOU;0.0;5.0;610;0.008;67;32.4;8.0;4.7;2.4;0.8;1.1;0.398;0.362;0.726;4.3;0.095;2.1;1.4;108;2010
15;16;Andrei Kirilenko;28;UTA;0.0;4.0;610;0.007;58;29.0;11.9;4.6;2.7;1.4;1.2;0.506;0.292;0.744;6.0;0.171;2.7;2.4;103;2010
16;17T;Arron Afflalo;24;DEN;0.0;1.0;610;0.002;82;27.1;8.8;3.1;1.7;0.6;0.4;0.465;0.434;0.735;4.3;0.092;1.4;-0.2;111;2010
17;17T;Matt Barnes;29;ORL;0.0;1.0;610;0.002;81;25.9;8.8;5.5;1.7;0.7;0.4;0.487;0.319;0.74;5.9;0.135;3.4;1.3;103;2010
18;17T;Brendan Haywood;30;TOT;0.0;1.0;610;0.002;77;30.6;9.1;9.3;0.6;0.3;2.1;0.562;0.0;0.62;6.7;0.137;3.0;0.2;106;2010
19;17T;David Lee;26;NYK;0.0;1.0;610;0.002;81;37.3;20.2;11.7;3.6;1.0;0.5;0.545;0.0;0.812;10.3;0.163;2.9;0.0;108;2010
20;17T;Kenyon Martin;32;DEN;0.0;1.0;610;0.002;58;34.2;11.5;9.4;1.9;1.2;1.1;0.456;0.276;0.557;3.3;0.079;2.8;0.5;104;2010
21;17T;Luc Mbah a Moute;23;MIL;0.0;1.0;610;0.002;73;25.6;6.2;5.5;1.1;0.8;0.5;0.48;0.353;0.699;4.7;0.122;3.0;1.5;103;2010
22;17T;Kendrick Perkins;25;BOS;0.0;1.0;610;0.002;78;27.6;10.1;7.6;1.0;0.3;1.7;0.602;0.0;0.582;5.2;0.117;3.8;1.0;101;2010
23;17T;Ben Wallace;35;DET;0.0;1.0;610;0.002;69;28.6;5.5;8.7;1.5;1.2;1.2;0.541;0.0;0.406;4.7;0.115;2.3;1.2;106;2010
0;1;Dwight Howard;25;ORL;114.0;585.0;600;0.975;78;37.6;22.9;14.1;1.4;1.4;2.4;0.593;0.0;0.596;14.4;0.235;7.7;2.4;94;2011
