;Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;
5;6;Juan Carlos Navarro;27;MEM;0.0;3.0;625;0.005;82;25.8;10.9;2.6;2.2;0.6;0.0;0.402;0.361;0.849;1.4;0.031;2008
6;7;Thaddeus Young;19;PHI;0.0;2.0;625;0.003;74;21.0;8.2;4.2;0.8;1.0;0.1;0.539;0.316;0.738;4.5;0.14;2008
7;8T;Mike Conley;20;MEM;0.0;1.0;625;0.002;53;26.1;9.4;2.6;4.2;0.8;0.0;0.428;0.33;0.732;1.1;0.038;2008
8;8T;Carl Landry;24;HOU;0.0;1.0;625;0.002;42;16.9;8.1;4.9;0.5;0.4;0.2;0.616;0.0;0.661;3.7;0.251;2008
0;1;Derrick Rose;20;CHI;111.0;574.0;600;0.957;81;37.0;16.8;3.9;6.3;0.8;0.2;0.475;0.222;0.788;4.9;0.078;2009
1;2;O.J. Mayo;21;MEM;5.0;246.0;600;0.41;82;38.0;18.5;3.8;3.2;1.1;0.2;0.438;0.384;0.879;3.4;0.052;2009
2;3;Brook Lopez;20;NJN;2.0;127.0;600;0.212;82;30.5;13.0;8.1;1.0;0.5;1.8;0.531;0.0;0.793;5.8;0.112;2009
3;4;Russell Westbrook;20;OKC;2.0;73.0;600;0.122;82;32.5;15.3;4.9;5.3;1.3;0.2;0.398;0.271;0.815;1.9;0.035;2009
4;5;Eric Gordon;20;LAC;0.0;22.0;600;0.037;78;34.3;16.1;2.6;2.8;1.0;0.4;0.456;0.389;0.854;4.6;0.082;2009
5;6;Kevin Love;20;MIN;0.0;16.0;600;0.027;81;25.3;11.1;9.1;1.0;0.4;0.6;0.459;0.105;0.789;5.3;0.124;2009
6;7;Michael Beasley;20;MIA;0.0;7.0;600;0.012;81;24.8;13.9;5.4;1.0;0.5;0.5;0.472;0.407;0.772;3.4;0.081;2009
7;8;Marc Gasol;24;MEM;0.0;4.0;600;0.007;82;30.7;11.9;7.4;1.7;0.8;1.1;0.53;0.0;0.733;6.4;0.121;2009
8;9T;Rudy Fernández;23;POR;0.0;3.0;600;0.005;78;25.6;10.4;2.7;2.0;0.9;0.2;0.425;0.399;0.839;6.1;0.147;2009
9;9T;Robin Lopez;20;PHO;0.0;3.0;600;0.005;60;10.2;3.2;2.0;0.1;0.2;0.7;0.518;0.0;0.691;1.1;0.083;2009
10;11T;Mario Chalmers;22;MIA;0.0;2.0;600;0.003;82;32.0;10.0;2.8;4.9;2.0;0.1;0.42;0.367;0.767;5.2;0.095;2009
11;11T;Courtney Lee;23;ORL;0.0;2.0;600;0.003;77;25.2;8.4;2.3;1.2;1.0;0.2;0.45;0.404;0.83;4.4;0.108;2009
12;13;Nicolas Batum;20;POR;0.0;1.0;600;0.002;79;18.4;5.4;2.8;0.9;0.6;0.5;0.446;0.369;0.808;3.7;0.123;2009
0;1;Tyreke Evans;20;SAC;67.0;491.0;615;0.798;72;37.2;20.1;5.3;5.8;1.5;0.4;0.458;0.255;0.748;5.4;0.097;2010
1;2;Stephen Curry;21;GSW;43.0;391.0;615;0.636;80;36.2;17.5;4.5;5.9;1.9;0.2;0.462;0.437;0.885;4.7;0.077;2010
2;3;Brandon Jennings;20;MIL;12.0;204.0;615;0.332;82;32.6;15.5;3.4;5.7;1.3;0.2;0.371;0.374;0.817;4.2;0.075;2010
3;4;Darren Collison;22;NOH;1.0;17.0;615;0.028;76;27.8;12.4;2.5;5.7;1.0;0.1;0.477;0.4;0.851;2.9;0.067;2010
4;5T;Jonny Flynn;20;MIN;0.0;2.0;615;0.003;81;28.9;13.5;2.4;4.4;1.0;0.0;0.417;0.358;0.826;0.1;0.002;2010
5;5T;Taj Gibson;24;CHI;0.0;2.0;615;0.003;82;26.9;9.0;7.5;0.9;0.6;1.3;0.494;;0.646;4.7;0.103;2010
0;1;Blake Griffin;21;LAC;118.0;590.0;590;1.0;82;38.0;22.5;12.1;3.8;0.8;0.5;0.506;0.292;0.642;9.8;0.152;2011
1;2;John Wall;20;WAS;0.0;295.0;590;0.5;69;37.8;16.4;4.6;8.3;1.8;0.5;0.409;0.296;0.766;2.2;0.041;2011
2;3;DeMarcus Cousins;20;SAC;0.0;81.0;590;0.137;81;28.5;14.1;8.6;2.5;1.0;0.8;0.43;0.167;0.687;1.1;0.022;2011
3;4;Landry Fields;22;NYK;0.0;62.0;590;0.105;82;31.0;9.7;6.4;1.9;1.0;0.2;0.497;0.393;0.769;5.3;0.1;2011
4;5;Gary Neal;26;SAS;0.0;19.0;590;0.032;80;21.1;9.8;2.5;1.2;0.3;0.1;0.451;0.419;0.808;3.5;0.099;2011
5;6;Greg Monroe;20;DET;0.0;15.0;590;0.025;80;27.8;9.4;7.5;1.3;1.2;0.6;0.551;0.0;0.622;6.6;0.143;2011
0;1;Kyrie Irving;19;CLE;117.0;592.0;600;0.987;51;30.5;18.5;3.7;5.4;1.1;0.4;0.469;0.399;0.872;4.1;0.125;2012
1;2;Ricky Rubio;21;MIN;0.0;170.0;600;0.283;41;34.2;10.6;4.2;8.2;2.2;0.2;0.357;0.34;0.803;2.0;0.07;2012
2;3;Kenneth Faried;22;DEN;1.0;129.0;600;0.215;46;22.5;10.2;7.7;0.8;0.7;1.0;0.586;;0.665;4.6;0.212;2012
3;4;Kawhi Leonard;20;SAS;1.0;47.0;600;0.078;64;24.0;7.9;5.1;1.1;1.3;0.4;0.493;0.376;0.773;5.5;0.171;2012
4;5;Iman Shumpert;21;NYK;1.0;33.0;600;0.055;59;28.9;9.5;3.2;2.8;1.7;0.1;0.401;0.306;0.798;2.4;0.068;2012
5;6;Klay Thompson;21;GSW;0.0;30.0;600;0.05;66;24.4;12.5;2.4;2.0;0.7;0.3;0.443;0.414;0.868;1.7;0.05;2012
6;7;Isaiah Thomas;22;SAC;0.0;28.0;600;0.047;65;25.5;11.5;2.6;4.1;0.8;0.1;0.448;0.379;0.832;4.3;0.124;2012
7;8;Brandon Knight;20;DET;0.0;21.0;600;0.035;66;32.3;12.8;3.2;3.8;0.7;0.2;0.415;0.38;0.759;1.3;0.029;2012
